articul,posicion,price_base,price_midl,deviation,percent,price_min,price_max,title
MS-0309-A,Моторюкзак ALPINESTARS MS-0309-A черный хамелеон,1373.75,'988.65,'385.1,'% 28.03,'764.31,'1213.0,
MS-7006,Моторюкзак Carbon Alpinestars MS-7006 черный,2727.09,'1778.0,'949.09,'% 34.8,'1625.0,'1931.0,
MS-0311-D,Моторюкзак Carbon DAINESE MS-0311-D черный,3015.97,'2376.0,'639.96,'% 21.22,'1812.0,'2940.0,
MS-7006-D,Моторюкзак Carbon DAINESE MS-7006-D черный,2727.09,'1867.0,'860.09,'% 31.54,'1621.0,'2113.0,
MS-0311-H,Моторюкзак Carbon HARLEY MS-0311-H черный,3909.3,'2646.5,'1262.8,'% 32.3,'2353.0,'2940.0,
MS-0304-D,Моторюкзак DAINESE MS-0304-D черный,1288.97,'883.56,'405.41,'% 31.45,'717.12,'1050.0,
MS-0304-KTM,Моторюкзак KTM MS-0304-KTM черный,1288.97,'883.56,'405.41,'% 31.45,'717.12,'1050.0,
MS-0309-M,Моторюкзак MONSTER 3D MS-0309-M черный хамелеон,1373.75,'921.0,'452.75,'% 32.96,'724.0,'1118.0,
GA-1820,Моторюкзак MONSTER GA-1820 цвета в ассортименте,763.02,'484.11,'278.9,'% 36.55,'457.0,'511.22,
GA-6930,Моторюкзак MONSTER GA-6930 черный,587.18,'380.0,'207.17,'% 35.28,'311.0,'449.0,
MS-7003,Моторюкзак MONSTER MS-7003 черный,1354.91,'928.41,'426.5,'% 31.48,'753.82,'1103.0,
MS-0305,Моторюкзак TAICHI MS-0305 цвета в ассортименте,1496.21,'930.22,'565.99,'% 37.83,'826.45,'1034.0,
MS-5481-2,Моторюкзак однолямочный BMW MS-5481-2 цвета в ассортименте,405.06,'278.0,'127.06,'% 31.37,'244.0,'312.0,
MS-5481-6,Моторюкзак однолямочный HONDA MS-5481-6 черный-красный,405.06,'268.0,'137.06,'% 33.84,'223.0,'313.0,
